image_id,predicted_label,crack_probability,width,height,component_count,crack_area_px,crack_area_pct,crack_length_px,mean_width_px,max_width_px,scale_mm_per_px,crack_length_mm,mean_width_mm,max_width_mm,severity_score,severity_label,severity_basis,segmentation_source,measurement_method,overlay_path,heatmap_path,mask_path,polygons_json
img_0001495,cracked,0.9994392620427894,256,256,10,1352,0.0206298828125,208.0,5.205188274383545,10.0,,,,,0.5055142765622037,medium,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0001495.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0001495.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0001495.png,"[{""component_id"": 8, ""area_px"": 171, ""bbox"": [136, 222, 157, 239], ""polygon"": [[149, 238], [141, 232], [137, 234], [136, 230], [153, 222], [156, 225], [150, 231], [152, 236], [149, 238]]}, {""component_id"": 10, ""area_px"": 155, ""bbox"": [96, 237, 113, 256], ""polygon"": [[104, 255], [102, 250], [104, 246], [103, 244], [98, 248], [96, 243], [100, 242], [103, 238], [109, 236], [112, 242], [108, 248], [110, 253], [108, 255]]}, {""component_id"": 4, ""area_px"": 148, ""bbox"": [78, 91, 98, 106], ""polygon"": [[89, 106], [78, 97], [79, 92], [83, 94], [87, 90], [91, 96], [93, 94], [98, 96], [89, 106]]}, {""component_id"": 7, ""area_px"": 140, ""bbox"": [43, 154, 67, 166], ""polygon"": [[61, 166], [50, 158], [45, 160], [42, 158], [52, 154], [56, 156], [61, 154], [64, 156], [62, 159], [66, 162], [61, 166]]}, {""component_id"": 5, ""area_px"": 139, ""bbox"": [148, 97, 166, 117], ""polygon"": [[153, 116], [148, 111], [160, 102], [156, 99], [158, 96], [164, 96], [166, 101], [153, 116]]}, {""component_id"": 9, ""area_px"": 135, ""bbox"": [207, 228, 220, 253], ""polygon"": [[215, 252], [210, 251], [212, 249], [206, 243], [216, 233], [214, 229], [217, 228], [220, 230], [218, 237], [212, 244], [218, 250], [215, 252]]}, {""component_id"": 1, ""area_px"": 127, ""bbox"": [206, 0, 229, 16], ""polygon"": [[210, 0], [220, 4], [224, 10], [226, 8], [228, 14], [226, 16], [214, 6], [208, 6], [206, 0]]}, {""component_id"": 6, ""area_px"": 119, ""bbox"": [214, 104, 236, 116], ""polygon"": [[218, 116], [214, 113], [218, 104], [227, 104], [236, 107], [232, 110], [222, 110], [218, 116]]}, {""component_id"": 2, ""area_px"": 112, ""bbox"": [233, 1, 244, 20], ""polygon"": [[237, 20], [232, 18], [234, 6], [242, 0], [244, 3], [238, 7], [242, 14], [237, 20]]}, {""component_id"": 3, ""area_px"": 106, ""bbox"": [234, 86, 252, 96], ""polygon"": [[249, 96], [242, 92], [237, 96], [234, 91], [239, 86], [243, 90], [250, 90], [252, 93], [249, 96]]}]"
img_0001496,cracked,0.9994392620427894,256,256,10,1352,0.0206298828125,208.0,5.205188274383545,10.0,,,,,0.5055142765622037,medium,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0001496.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0001496.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0001496.png,"[{""component_id"": 8, ""area_px"": 171, ""bbox"": [136, 222, 157, 239], ""polygon"": [[149, 238], [141, 232], [137, 234], [136, 230], [153, 222], [156, 225], [150, 231], [152, 236], [149, 238]]}, {""component_id"": 10, ""area_px"": 155, ""bbox"": [96, 237, 113, 256], ""polygon"": [[104, 255], [102, 250], [104, 246], [103, 244], [98, 248], [96, 243], [100, 242], [103, 238], [109, 236], [112, 242], [108, 248], [110, 253], [108, 255]]}, {""component_id"": 4, ""area_px"": 148, ""bbox"": [78, 91, 98, 106], ""polygon"": [[89, 106], [78, 97], [79, 92], [83, 94], [87, 90], [91, 96], [93, 94], [98, 96], [89, 106]]}, {""component_id"": 7, ""area_px"": 140, ""bbox"": [43, 154, 67, 166], ""polygon"": [[61, 166], [50, 158], [45, 160], [42, 158], [52, 154], [56, 156], [61, 154], [64, 156], [62, 159], [66, 162], [61, 166]]}, {""component_id"": 5, ""area_px"": 139, ""bbox"": [148, 97, 166, 117], ""polygon"": [[153, 116], [148, 111], [160, 102], [156, 99], [158, 96], [164, 96], [166, 101], [153, 116]]}, {""component_id"": 9, ""area_px"": 135, ""bbox"": [207, 228, 220, 253], ""polygon"": [[215, 252], [210, 251], [212, 249], [206, 243], [216, 233], [214, 229], [217, 228], [220, 230], [218, 237], [212, 244], [218, 250], [215, 252]]}, {""component_id"": 1, ""area_px"": 127, ""bbox"": [206, 0, 229, 16], ""polygon"": [[210, 0], [220, 4], [224, 10], [226, 8], [228, 14], [226, 16], [214, 6], [208, 6], [206, 0]]}, {""component_id"": 6, ""area_px"": 119, ""bbox"": [214, 104, 236, 116], ""polygon"": [[218, 116], [214, 113], [218, 104], [227, 104], [236, 107], [232, 110], [222, 110], [218, 116]]}, {""component_id"": 2, ""area_px"": 112, ""bbox"": [233, 1, 244, 20], ""polygon"": [[237, 20], [232, 18], [234, 6], [242, 0], [244, 3], [238, 7], [242, 14], [237, 20]]}, {""component_id"": 3, ""area_px"": 106, ""bbox"": [234, 86, 252, 96], ""polygon"": [[249, 96], [242, 92], [237, 96], [234, 91], [239, 86], [243, 90], [250, 90], [252, 93], [249, 96]]}]"
img_0001497,cracked,0.9989216261175172,256,256,2,300,0.00457763671875,52.0,5.129790306091309,8.246211051940918,,,,,0.27292936509980553,low,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0001497.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0001497.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0001497.png,"[{""component_id"": 1, ""area_px"": 156, ""bbox"": [8, 123, 28, 143], ""polygon"": [[19, 142], [16, 141], [16, 138], [18, 135], [20, 129], [18, 128], [12, 130], [8, 128], [10, 126], [24, 122], [28, 126], [24, 130], [22, 139], [19, 142]]}, {""component_id"": 2, ""area_px"": 144, ""bbox"": [101, 146, 123, 159], ""polygon"": [[110, 158], [106, 154], [103, 156], [100, 152], [114, 146], [118, 150], [120, 150], [122, 152], [121, 154], [115, 158], [113, 156], [110, 158]]}]"
img_0001498,cracked,0.9989216261175172,256,256,2,300,0.00457763671875,52.0,5.129790306091309,8.246211051940918,,,,,0.27292936509980553,low,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0001498.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0001498.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0001498.png,"[{""component_id"": 1, ""area_px"": 156, ""bbox"": [8, 123, 28, 143], ""polygon"": [[19, 142], [16, 141], [16, 138], [18, 135], [20, 129], [18, 128], [12, 130], [8, 128], [10, 126], [24, 122], [28, 126], [24, 130], [22, 139], [19, 142]]}, {""component_id"": 2, ""area_px"": 144, ""bbox"": [101, 146, 123, 159], ""polygon"": [[110, 158], [106, 154], [103, 156], [100, 152], [114, 146], [118, 150], [120, 150], [122, 152], [121, 154], [115, 158], [113, 156], [110, 158]]}]"
img_0040515,cracked,0.9862508153642584,256,256,6,3152,0.048095703125,450.0,6.327176094055176,12.806248664855957,,,,,0.8177884931509767,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0040515.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0040515.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0040515.png,"[{""component_id"": 1, ""area_px"": 1599, ""bbox"": [0, 72, 164, 256], ""polygon"": [[156, 255], [139, 232], [136, 234], [132, 233], [132, 230], [134, 227], [124, 216], [112, 214], [108, 208], [104, 208], [98, 200], [92, 195], [92, 191], [74, 178], [66, 167], [60, 164], [56, 158], [54, 160], [46, 158], [50, 154], [44, 151], [50, 147], [34, 121], [26, 103], [10, 84], [8, 86], [0, 78]]}, {""component_id"": 3, ""area_px"": 711, ""bbox"": [129, 105, 165, 151], ""polygon"": [[157, 150], [152, 147], [152, 144], [147, 146], [144, 138], [133, 146], [128, 143], [134, 136], [139, 138], [142, 135], [140, 127], [141, 122], [145, 126], [152, 124], [147, 124], [141, 116], [135, 120], [132, 118], [135, 108], [141, 114], [149, 104], [156, 106], [152, 110], [156, 113], [154, 115], [160, 118], [152, 125], [154, 129], [152, 132], [154, 136], [159, 134], [164, 136], [158, 142], [164, 146], [163, 150], [157, 150]]}, {""component_id"": 2, ""area_px"": 397, ""bbox"": [211, 85, 238, 117], ""polygon"": [[227, 116], [220, 113], [222, 105], [219, 104], [215, 98], [212, 100], [210, 99], [215, 92], [218, 94], [220, 93], [216, 89], [218, 84], [229, 94], [235, 92], [238, 95], [234, 99], [234, 106], [227, 116]]}, {""component_id"": 6, ""area_px"": 184, ""bbox"": [76, 204, 98, 222], ""polygon"": [[94, 222], [91, 222], [76, 205], [84, 204], [88, 208], [95, 206], [96, 212], [94, 215], [98, 218], [94, 222]]}, {""component_id"": 4, ""area_px"": 148, ""bbox"": [199, 105, 213, 124], ""polygon"": [[208, 124], [198, 122], [202, 118], [206, 108], [211, 104], [212, 111], [210, 116], [212, 120], [208, 124]]}, {""component_id"": 5, ""area_px"": 113, ""bbox"": [174, 135, 197, 147], ""polygon"": [[193, 146], [185, 142], [174, 139], [181, 134], [185, 136], [190, 140], [196, 141], [193, 146]]}]"
img_0039906,cracked,0.9860057053130658,256,256,4,3096,0.0472412109375,450.0,6.692944526672363,12.165525436401367,,,,,0.8129329525860507,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0039906.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0039906.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0039906.png,"[{""component_id"": 1, ""area_px"": 2601, ""bbox"": [172, 0, 209, 256], ""polygon"": [[180, 255], [180, 250], [172, 245], [180, 242], [176, 239], [176, 236], [182, 234], [182, 213], [178, 211], [182, 206], [178, 195], [186, 187], [190, 177], [188, 168], [192, 151], [188, 149], [192, 143], [192, 123], [194, 113], [192, 103], [194, 77], [192, 74], [194, 60], [198, 44], [196, 40], [194, 0]]}, {""component_id"": 3, ""area_px"": 189, ""bbox"": [164, 95, 181, 114], ""polygon"": [[173, 114], [169, 114], [164, 108], [164, 103], [172, 94], [176, 98], [174, 103], [180, 103], [178, 111], [173, 114]]}, {""component_id"": 4, ""area_px"": 155, ""bbox"": [157, 139, 178, 156], ""polygon"": [[172, 156], [161, 152], [158, 154], [156, 151], [160, 146], [167, 150], [170, 146], [170, 140], [174, 138], [178, 150], [172, 156]]}, {""component_id"": 2, ""area_px"": 151, ""bbox"": [150, 32, 170, 47], ""polygon"": [[163, 46], [157, 42], [153, 46], [150, 42], [164, 32], [166, 34], [164, 38], [168, 38], [170, 41], [163, 46]]}]"
img_0039954,cracked,0.9854720149519604,256,256,3,2237,0.0341339111328125,311.0,6.432297706604004,10.0,,,,,0.672561194779129,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0039954.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0039954.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0039954.png,"[{""component_id"": 1, ""area_px"": 1903, ""bbox"": [166, 0, 246, 256], ""polygon"": [[246, 0], [244, 5], [244, 21], [240, 31], [234, 56], [230, 62], [230, 71], [226, 79], [222, 83], [218, 102], [214, 109], [214, 119], [222, 128], [226, 127], [226, 132], [224, 134], [221, 134], [208, 145], [208, 150], [196, 163], [194, 169], [188, 173], [184, 181], [184, 198], [174, 216], [172, 231], [172, 248], [176, 255]]}, {""component_id"": 2, ""area_px"": 184, ""bbox"": [170, 28, 188, 51], ""polygon"": [[180, 50], [170, 46], [173, 42], [175, 42], [182, 38], [178, 32], [182, 28], [188, 36], [188, 41], [180, 50]]}, {""component_id"": 3, ""area_px"": 150, ""bbox"": [240, 93, 256, 110], ""polygon"": [[255, 104], [244, 110], [242, 107], [242, 104], [240, 97], [244, 92], [255, 102]]}]"
img_0038714,cracked,0.985391766056269,256,256,7,2491,0.0380096435546875,401.0,5.693414211273193,12.806248664855957,,,,,0.7608825982063709,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0038714.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0038714.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0038714.png,"[{""component_id"": 6, ""area_px"": 875, ""bbox"": [188, 91, 212, 256], ""polygon"": [[192, 255], [192, 244], [188, 234], [192, 220], [188, 208], [190, 187], [196, 175], [198, 144], [206, 118], [204, 115], [207, 112], [210, 114], [208, 131], [200, 155], [202, 173], [194, 188], [196, 218], [192, 233], [198, 243], [198, 255]]}, {""component_id"": 2, ""area_px"": 548, ""bbox"": [204, 0, 226, 88], ""polygon"": [[210, 0], [210, 12], [214, 29], [218, 38], [226, 41], [220, 45], [224, 53], [222, 68], [218, 75], [220, 80], [214, 88], [212, 85], [214, 79], [216, 44], [206, 19], [204, 10], [204, 0]]}, {""component_id"": 5, ""area_px"": 363, ""bbox"": [15, 77, 41, 113], ""polygon"": [[38, 112], [33, 108], [29, 110], [26, 107], [24, 101], [28, 98], [24, 92], [27, 90], [29, 92], [30, 86], [26, 82], [16, 84], [16, 80], [30, 76], [34, 81], [34, 87], [40, 92], [34, 97], [36, 105], [40, 108], [38, 112]]}, {""component_id"": 3, ""area_px"": 246, ""bbox"": [32, 12, 61, 31], ""polygon"": [[43, 30], [38, 30], [32, 19], [33, 18], [39, 22], [40, 17], [47, 12], [55, 18], [59, 12], [60, 23], [55, 24], [49, 18], [46, 22], [46, 27], [43, 30]]}, {""component_id"": 1, ""area_px"": 215, ""bbox"": [0, 0, 19, 16], ""polygon"": [[8, 0], [9, 2], [14, 3], [14, 5], [18, 10], [18, 13], [14, 16], [11, 10], [6, 16], [0, 12]]}, {""component_id"": 4, ""area_px"": 127, ""bbox"": [0, 69, 15, 87], ""polygon"": [[0, 68], [3, 68], [8, 74], [12, 74], [14, 76], [10, 81], [12, 84], [11, 86], [2, 84], [4, 75], [0, 74]]}, {""component_id"": 7, ""area_px"": 117, ""bbox"": [142, 127, 156, 142], ""polygon"": [[153, 142], [150, 136], [144, 136], [142, 130], [143, 126], [146, 130], [149, 126], [154, 131], [156, 139], [153, 142]]}]"
img_0040487,cracked,0.9845812335286784,256,256,6,3087,0.0471038818359375,420.0,6.166103363037109,12.0,,,,,0.8118755820328841,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0040487.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0040487.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0040487.png,"[{""component_id"": 1, ""area_px"": 2338, ""bbox"": [10, 0, 203, 256], ""polygon"": [[196, 255], [188, 235], [192, 221], [188, 214], [188, 205], [182, 197], [176, 181], [170, 176], [172, 165], [157, 148], [156, 156], [150, 155], [148, 143], [152, 140], [146, 140], [144, 136], [148, 130], [151, 130], [158, 136], [160, 133], [141, 122], [135, 112], [121, 110], [114, 100], [85, 72], [81, 76], [62, 57], [56, 47], [50, 33], [20, 14], [10, 0]]}, {""component_id"": 4, ""area_px"": 218, ""bbox"": [42, 58, 56, 82], ""polygon"": [[53, 82], [44, 73], [42, 62], [46, 58], [51, 58], [56, 61], [52, 65], [56, 75], [53, 82]]}, {""component_id"": 3, ""area_px"": 141, ""bbox"": [165, 11, 186, 23], ""polygon"": [[172, 22], [166, 20], [164, 15], [166, 12], [172, 16], [176, 10], [179, 10], [186, 17], [183, 22], [177, 18], [172, 22]]}, {""component_id"": 5, ""area_px"": 141, ""bbox"": [136, 178, 149, 198], ""polygon"": [[145, 198], [136, 188], [137, 178], [143, 184], [147, 180], [148, 182], [145, 198]]}, {""component_id"": 6, ""area_px"": 127, ""bbox"": [115, 182, 132, 199], ""polygon"": [[128, 198], [124, 196], [126, 192], [123, 190], [114, 187], [117, 184], [126, 182], [130, 184], [128, 190], [132, 195], [128, 198]]}, {""component_id"": 2, ""area_px"": 122, ""bbox"": [142, 0, 155, 16], ""polygon"": [[148, 0], [150, 5], [154, 9], [150, 16], [142, 11], [142, 6], [146, 3], [144, 0]]}]"
img_0039839,cracked,0.9845280322290928,256,256,5,2109,0.0321807861328125,338.0,5.880716323852539,12.0,,,,,0.6859954451095556,high,pixel_estimate,heuristic_clahe_frangi_morphology,mask_skeleton_distance_transform,C:\Users\shrav\Downloads\code_codex\data\results\localization\overlays\img_0039839.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\heatmaps\img_0039839.jpg,C:\Users\shrav\Downloads\code_codex\data\results\localization\masks\img_0039839.png,"[{""component_id"": 1, ""area_px"": 1600, ""bbox"": [225, 0, 256, 237], ""polygon"": [[255, 236], [252, 233], [250, 217], [248, 214], [243, 214], [240, 211], [244, 208], [244, 204], [238, 201], [240, 197], [242, 186], [236, 171], [234, 129], [238, 122], [238, 112], [242, 100], [244, 66], [240, 53], [240, 43], [234, 26], [228, 16], [224, 0]]}, {""component_id"": 3, ""area_px"": 146, ""bbox"": [166, 204, 183, 224], ""polygon"": [[181, 224], [176, 221], [175, 216], [168, 222], [166, 220], [168, 215], [170, 204], [174, 207], [172, 210], [182, 216], [181, 224]]}, {""component_id"": 2, ""area_px"": 131, ""bbox"": [175, 110, 193, 121], ""polygon"": [[191, 120], [187, 116], [179, 120], [174, 116], [174, 111], [178, 110], [181, 116], [189, 110], [192, 115], [191, 120]]}, {""component_id"": 5, ""area_px"": 122, ""bbox"": [174, 236, 188, 256], ""polygon"": [[174, 255], [176, 249], [174, 239], [175, 236], [180, 242], [180, 249], [188, 255]]}, {""component_id"": 4, ""area_px"": 110, ""bbox"": [140, 217, 151, 237], ""polygon"": [[143, 236], [142, 232], [144, 225], [141, 224], [140, 221], [146, 216], [150, 223], [150, 227], [143, 236]]}]"
